"V1" "V2" "V12"
"Cop|457544" "Pen|4660" 146
"Cop|457544" "Hym|412649" 113
"Cop|457544" "The|6713" 113
"Hym|412649" "Cop|457544" 118
"Hym|412649" "Pen|4660" 751
"Hym|412649" "The|6713" 853
"Cry|548176" "The|6713" 119
"Cry|548176" "Pen|4660" 133
"Cry|548176" "Hym|412649" 146
"Pen|4660" "Hym|412649" 763
"Pen|4660" "Cry|548176" 140
"Pen|4660" "The|6713" 736
"Pen|4660" "Cop|457544" 156
"The|6713" "Cop|457544" 121
"The|6713" "Pen|4660" 730
"Hym|412649" "Cry|548176" 145
"The|6713" "Hym|412649" 865
"The|6713" "Cry|548176" 124
